5 7 700 350 350 0 
0.213 0.029 0.183 0.718 0.016 1 
0.211 -0.002 0.171 0.756 0.035 1 
0.172 0.020 0.186 0.804 -0.035 1 
0.230 0.046 0.160 0.749 0.025 1 
0.157 0.077 0.191 0.792 -0.012 1 
0.174 0.009 0.174 0.744 0.025 1 
0.150 -0.009 0.157 0.753 -0.027 1 
0.194 0.064 0.135 0.787 0.048 1 
0.201 0.021 0.207 0.748 0.011 1 
0.134 0.023 0.130 0.719 -0.034 1 
0.138 0.048 0.125 0.729 0.018 1 
0.200 0.020 0.165 0.739 0.031 1 
0.222 -0.015 0.190 0.769 -0.039 1 
0.181 0.041 0.118 0.710 -0.037 1 
0.136 0.073 0.192 0.805 -0.001 1 
0.196 0.077 0.132 0.740 0.003 1 
0.186 0.019 0.126 0.740 0.009 1 
0.171 0.079 0.112 0.782 0.019 1 
0.221 0.034 0.201 0.739 -0.041 1 
0.174 0.042 0.129 0.779 -0.006 1 
0.153 0.021 0.192 0.793 -0.001 1 
0.229 0.005 0.136 0.795 -0.048 1 
0.217 0.022 0.179 0.776 0.027 1 
0.143 0.069 0.160 0.743 0.008 1 
0.149 0.078 0.154 0.788 0.001 1 
0.227 0.012 0.172 0.738 0.037 1 
0.167 0.021 0.138 0.796 0.022 1 
0.218 0.080 0.113 0.723 0.016 1 
0.196 0.037 0.155 0.783 0.023 1 
0.177 0.001 0.184 0.758 0.017 1 
0.184 -0.005 0.186 0.743 -0.009 1 
0.165 0.029 0.178 0.806 -0.018 1 
0.141 0.070 0.164 0.807 0.027 1 
0.149 0.046 0.184 0.782 -0.005 1 
0.143 0.022 0.186 0.747 0.038 1 
0.186 0.029 0.182 0.738 0.027 1 
0.151 0.068 0.165 0.713 0.001 1 
0.196 0.016 0.170 0.766 0.046 1 
0.189 0.070 0.112 0.738 -0.049 1 
0.181 0.068 0.143 0.792 0.004 1 
0.154 -0.004 0.122 0.780 -0.008 1 
0.139 0.021 0.125 0.763 0.041 1 
0.198 0.073 0.163 0.782 -0.015 1 
0.212 0.024 0.154 0.740 -0.026 1 
0.157 0.039 0.155 0.737 -0.027 1 
0.224 0.051 0.167 0.724 -0.026 1 
0.216 0.072 0.118 0.751 -0.029 1 
0.225 0.027 0.171 0.792 0.030 1 
0.173 0.060 0.121 0.745 0.033 1 
0.134 -0.016 0.211 0.760 -0.005 1 
0.174 0.047 0.163 0.731 -0.019 1 
0.155 0.065 0.123 0.729 0.048 1 
0.153 0.004 0.203 0.751 0.002 1 
0.169 0.062 0.173 0.795 0.040 1 
0.212 0.061 0.133 0.725 -0.046 1 
0.216 0.016 0.121 0.762 -0.049 1 
0.230 0.026 0.170 0.719 -0.031 1 
0.190 0.033 0.141 0.726 -0.012 1 
0.165 0.006 0.145 0.781 0.030 1 
0.155 -0.005 0.125 0.806 -0.003 1 
0.133 0.029 0.181 0.769 -0.027 1 
0.162 0.066 0.143 0.758 0.018 1 
0.202 -0.001 0.115 0.759 -0.037 1 
0.210 0.047 0.169 0.788 -0.043 1 
0.186 0.062 0.191 0.793 0.011 1 
0.132 0.047 0.204 0.753 -0.017 1 
0.193 0.072 0.153 0.776 -0.031 1 
0.149 -0.004 0.129 0.766 0.045 1 
0.204 0.001 0.128 0.732 0.035 1 
0.147 -0.007 0.169 0.752 0.019 1 
0.204 0.065 0.159 0.753 0.036 1 
0.202 0.000 0.148 0.731 -0.045 1 
0.211 0.027 0.175 0.776 -0.001 1 
0.228 0.067 0.140 0.780 -0.032 1 
0.137 0.033 0.142 0.756 -0.039 1 
0.145 0.076 0.177 0.731 0.015 1 
0.185 0.056 0.142 0.737 0.035 1 
0.145 -0.016 0.203 0.744 -0.029 1 
0.193 0.043 0.132 0.764 0.025 1 
0.165 0.069 0.121 0.753 -0.035 1 
0.202 -0.006 0.143 0.792 -0.012 1 
0.205 0.002 0.193 0.718 0.003 1 
0.140 -0.003 0.168 0.712 0.028 1 
0.200 0.031 0.195 0.778 0.036 1 
0.172 0.075 0.208 0.756 0.012 1 
0.187 0.041 0.186 0.742 -0.012 1 
0.208 -0.007 0.204 0.771 -0.049 1 
0.171 0.037 0.136 0.749 0.010 1 
0.148 0.058 0.132 0.759 0.046 1 
0.133 0.017 0.164 0.712 0.035 1 
0.222 -0.014 0.171 0.775 0.048 1 
0.168 0.028 0.124 0.733 -0.039 1 
0.168 0.068 0.198 0.725 -0.034 1 
0.214 0.049 0.146 0.768 0.036 1 
0.194 -0.003 0.157 0.724 0.033 1 
0.143 0.012 0.172 0.805 0.025 1 
0.184 0.015 0.135 0.803 -0.033 1 
0.218 0.034 0.181 0.807 0.037 1 
0.214 0.019 0.159 0.747 0.027 1 
0.137 -0.002 0.135 0.754 -0.007 1 
0.381 0.002 0.896 0.585 0.001 2 
0.383 0.028 0.834 0.586 0.011 2 
0.404 0.005 0.907 0.568 0.007 2 
0.332 0.038 0.829 0.569 0.017 2 
0.340 -0.010 0.890 0.521 0.029 2 
0.336 0.021 0.912 0.583 0.026 2 
0.367 -0.017 0.901 0.602 -0.022 2 
0.328 0.059 0.878 0.527 0.009 2 
0.319 0.076 0.915 0.525 0.005 2 
0.317 0.068 0.915 0.548 -0.036 2 
0.322 0.031 0.918 0.563 -0.043 2 
0.349 -0.008 0.839 0.559 -0.038 2 
0.374 0.076 0.886 0.578 -0.031 2 
0.339 -0.005 0.870 0.561 -0.021 2 
0.343 0.022 0.915 0.542 -0.028 2 
0.353 -0.018 0.841 0.611 0.014 2 
0.367 0.014 0.902 0.562 -0.016 2 
0.402 -0.011 0.910 0.531 -0.021 2 
0.388 0.016 0.883 0.531 0.039 2 
0.320 0.062 0.856 0.594 -0.007 2 
0.393 -0.010 0.917 0.563 -0.006 2 
0.349 -0.016 0.832 0.604 -0.010 2 
0.363 0.035 0.844 0.575 0.037 2 
0.333 -0.005 0.847 0.603 -0.019 2 
0.373 0.055 0.835 0.572 0.050 2 
0.339 0.026 0.857 0.535 0.025 2 
0.332 0.061 0.839 0.598 -0.031 2 
0.335 0.025 0.825 0.582 -0.038 2 
0.330 -0.013 0.821 0.591 0.037 2 
0.338 0.053 0.894 0.565 0.016 2 
0.369 0.010 0.878 0.614 0.042 2 
0.395 0.049 0.826 0.579 0.010 2 
0.392 0.078 0.864 0.578 0.024 2 
0.317 0.069 0.908 0.610 -0.045 2 
