A106	100	0	0	0	0	0	0	31	1
A206	0	90	6	3	0	0	0	31	2
A114	0	3	0	97	0	0	0	31	4
A124	0	0	3	0	97	0	0	31	5
A125	1	0	0	6	0	93	0	146	6
A102	14	30	11	30	2	13	0	141	0
C218	99	0	0	1	0	0	0	147	1
C118	2	90	5	1	0	2	0	145	2
C123	0	0	88	13	0	0	0	24	3
C212	3	0	0	74	3	19	0	31	4
C110	1	0	5	1	94	0	0	147	5
C104	1	1	0	2	0	96	0	147	6
C203	6	35	0	26	0	32	0	31	0
EM407	100	0	0	0	0	0	0	32	1
EM424	0	97	0	0	3	0	0	31	2
EM521	0	0	92	0	8	0	0	24	3
EM524	0	10	83	3	3	0	0	30	3
EM514	0	0	0	83	3	13	0	30	4
EM211	3	0	0	0	91	3	3	32	5
EM417	0	0	0	3	0	97	0	30	6
EM204	25	3	3	0	0	0	69	32	0
GS108	96	0	0	0	4	0	0	24	1
GS201	0	71	3	13	0	13	0	31	2
GS125	0	0	77	0	19	3	0	31	3
GS208	0	0	4	70	0	26	0	23	4
GS116	0	0	0	0	100	0	0	24	5
GS225	0	3	0	13	0	84	0	31	6
GS104	13	21	0	21	4	42	0	24	0
JB109	100	0	0	0	0	0	0	32	1
JB123	0	7	0	81	0	11	0	27	4
JB112	0	3	3	0	93	0	0	29	5
JB116	0	0	0	0	0	100	0	30	6
JB103	0	13	3	3	0	3	78	32	0
JJ407	100	0	0	0	0	0	0	31	1
JJ408	97	0	0	0	3	0	0	31	1
JJ505	3	93	0	3	0	0	0	30	2
JJ513	0	4	96	0	0	0	0	25	3
JJ312	0	0	15	76	3	6	0	33	4
JJ413	0	0	3	0	97	0	0	30	5
JJ320	0	12	0	0	0	88	0	33	6
JJ304	17	47	0	17	0	20	0	30	0
JM104	100	0	0	0	0	0	0	24	1
JM311	0	96	0	0	0	4	0	23	2
JM503	0	4	4	92	0	0	0	24	4
JM116	0	0	4	0	96	0	0	24	5
JM208	0	0	0	3	0	97	0	31	6
JM109	63	21	8	0	0	8	0	24	0
MF106	100	0	0	0	0	0	0	31	1
MF130	0	90	3	0	0	6	0	31	2
MF126	0	4	88	0	8	0	0	24	3
MF127	0	0	83	0	17	0	0	24	3
MF205	0	3	3	84	6	3	0	31	4
MF207	0	0	0	100	0	0	0	24	4
MF109	0	0	0	0	96	4	0	24	5
MF213	0	0	0	10	0	90	0	30	6
MF102	16	68	3	0	3	10	0	31	0
MO104	100	0	0	0	0	0	0	24	1
MO130	0	88	4	0	0	8	0	24	2
MO123	0	0	88	0	13	0	0	24	3
MO126	0	0	88	8	4	0	0	24	3
MO211	0	0	0	100	0	0	0	24	4
MO213	0	0	0	96	0	4	0	24	4
MO114	0	0	6	3	90	0	0	31	5
MO218	0	0	0	0	0	100	0	24	6
MO105	26	61	0	3	0	10	0	31	0
NR106	92	0	4	0	4	0	0	24	1
NR215	0	94	0	3	3	0	0	31	2
NR119	0	10	84	0	3	3	0	31	3
NR207	0	0	0	100	0	0	0	31	4
NR114	0	0	16	0	81	3	0	31	5
NR329	0	0	0	17	0	83	0	24	6
NR103	17	29	0	13	4	38	0	24	0
PE206	97	0	0	0	0	0	3	32	1
PE212	100	0	0	0	0	0	0	31	1
PE231	0	74	16	3	0	6	0	31	2
PE507	0	92	8	0	0	0	0	24	2
PE510	0	83	0	4	0	13	0	24	2
PE316	0	0	91	2	7	0	0	44	3
PE321	0	0	92	4	4	0	0	25	3
PE221	0	3	0	83	7	7	0	30	4
PE602	0	0	23	0	74	3	0	31	5
PE405	0	0	0	10	0	90	0	31	6
PE204	16	16	3	0	3	0	63	32	0
PF105	96	0	0	0	4	0	0	24	1
PF106	100	0	0	0	0	0	0	31	1
PF212	0	100	0	0	0	0	0	24	2
PF216	0	100	0	0	0	0	0	31	2
PF230	0	0	100	0	0	0	0	31	3
PF204	0	0	0	79	0	21	0	24	4
PF116	7	0	0	0	93	0	0	30	5
PF124	4	0	0	0	0	96	0	24	6
PF102	47	30	7	3	7	7	0	30	0
SW309	100	0	0	0	0	0	0	24	1
SW216	0	92	0	0	0	8	0	24	2
SW230	4	0	79	0	8	8	0	24	3
SW409	0	0	0	100	0	0	0	30	4
SW116	0	0	0	0	100	0	0	31	5
SW130	0	0	0	6	0	94	0	31	6
SW303	25	46	0	0	0	29	0	24	0
WF211	97	0	0	0	0	3	0	32	1
WF212	100	0	0	0	0	0	0	31	1
WF328	7	79	0	3	3	7	0	29	2
WF506	0	88	0	4	0	8	0	24	2
WF316	0	4	88	0	4	4	0	25	3
WF301	0	0	0	100	0	0	0	30	4
WF304	0	0	2	96	0	2	0	45	4
WF216	0	0	9	0	91	0	0	69	5
WF311	0	0	0	3	0	97	0	29	6
WF422	0	0	0	20	0	80	0	30	6
WF205	0	7	0	28	0	7	59	29	0
