 0.50  0.50  0.86  0.70  0
 0.25  0.28  0.88  0.54  1
 0.25  0.11  0.68  0.28  2
 0.50  0.08  0.63  0.21  0
 0.50  0.13  0.74  0.32  1
 0.38  0.06  0.59  0.16  2
 0.63  0.08  0.62  0.21  0
 0.50  0.10  0.67  0.26  1
 0.25  0.07  0.54  0.20  2
 0.50  0.09  0.65  0.24  0
 0.50  0.18  0.80  0.41  1
 0.13  0.12  0.64  0.30  2
 0.50  0.10  0.66  0.25  0
 0.50  0.10  0.68  0.25  1
 1.00  0.17  0.73  0.39  2
 0.50  0.09  0.64  0.23  0
 0.38  0.11  0.70  0.29  1
 0.25  0.08  0.62  0.22  2
