 0.25  0.75  0.96 66.65  0.27  0.84  0.53  0
 0.38  0.88  0.98 46.80  0.21  0.77  0.44  1
 0.63  0.13  0.96 65.36  0.29  0.91  0.55  2
 0.50  1.00  0.96 62.05  0.28  0.89  0.54  3
 0.38  1.00  1.00 31.20  0.06  0.50  0.17  0
 1.00  0.50  1.00 22.31  0.04  0.42  0.11  1
 0.63  0.13  0.99 42.21  0.11  0.64  0.28  2
 0.50  1.00  1.00 24.93  0.04  0.44  0.12  3
 0.38  0.88  0.98 57.91  0.18  0.77  0.41  0
 1.00  0.50  0.99 46.22  0.12  0.62  0.31  1
 0.63  0.13  0.97 67.54  0.27  0.85  0.53  2
 0.50  1.00  0.97 68.38  0.26  0.87  0.52  3
 0.25  0.75  0.97 64.66  0.23  0.84  0.48  0
 0.13  0.50  0.96 67.27  0.28  0.84  0.53  1
 0.63  0.13  0.99 35.92  0.17  0.79  0.39  2
 0.38  0.88  0.98 56.36  0.22  0.85  0.47  3
 0.38  0.88  0.97 56.03  0.23  0.85  0.48  0
 1.00  0.50  0.96 65.45  0.29  0.83  0.54  1
 0.63  0.13  0.97 49.88  0.23  0.84  0.48  2
 0.50  1.00  0.97 51.99  0.24  0.90  0.49  3
 0.38  0.88  0.99 50.04  0.14  0.76  0.34  0
 1.00  0.50  0.99 45.59  0.13  0.66  0.33  1
 0.63  1.00  0.98 48.27  0.21  0.82  0.45  2
 0.50  1.00  0.99 41.71  0.11  0.73  0.29  3
