0.50, 0.90
0.25, 0.67
0.62, 0.61
0.87, 0.71
0.38, 0.71
1.00, 0.57
0.25, 0.80
0.75, 0.74
1.00, 0.64
0.50, 0.59
0.25, 0.77
0.50, 0.56
0.50, 0.50
0.50, 0.45
1.00, 0.60
0.62, 0.42
0.25, 0.56
0.50, 1.00
0.13, 0.65
0.25, 0.76
0.50, 1.00
0.87, 0.75
0.50, 1.00
0.62, 0.75
0.38, 0.45
0.62, 0.89
0.50, 0.73
0.62, 0.44
0.87, 0.71
0.50, 0.65
0.25, 0.84
0.62, 0.59
0.50, 0.35
0.62, 0.83
0.50, 0.65
0.62, 0.59
0.13, 0.80
0.62, 0.81
0.75, 0.57
0.50, 0.54
0.38, 0.59
1.00, 0.77
0.62, 0.61
0.62, 0.59
1.00, 0.73
0.50, 0.54
0.38, 0.54
0.38, 0.62
0.50, 0.64
0.50, 0.61
0.62, 0.73
0.75, 0.46
0.38, 0.32
0.75, 0.35
0.50, 0.40
0.50, 0.48
0.75, 0.65
