0.63	0.97	0.24	0.95	0.49	0
0.5	0.97	0.26	0.93	0.51	1
0.63	0.98	0.21	0.93	0.45	2
0.5	0.98	0.19	0.94	0.43	3
0.38	0.99	0.17	0.74	0.39	4
0.63	0.98	0.22	0.93	0.46	5
0.63	0.97	0.24	0.94	0.49	6
0.63	0.96	0.29	0.84	0.54	7
0.5	0.97	0.24	0.95	0.49	8
0.63	0.99	0.17	0.89	0.4	9
0.63	0.91	0.44	0.95	0.67	10
0.38	1	0.1	0.71	0.26	11
0.63	0.99	0.17	0.89	0.39	0
0.5	0.97	0.25	0.89	0.5	1
0.63	0.99	0.17	0.92	0.4	2
0.63	0.99	0.16	0.93	0.37	3
0.5	0.97	0.23	0.9	0.48	4
0.63	0.98	0.2	0.95	0.44	5
0.63	0.99	0.13	0.87	0.32	6
0.5	0.97	0.24	0.76	0.48	7
0.63	0.98	0.19	0.92	0.42	8
0.63	0.99	0.15	0.92	0.36	9
0.75	0.97	0.27	0.94	0.52	10
0.38	1	0.1	0.69	0.25	11
0.63	0.99	0.13	0.87	0.32	0
0.5	0.99	0.15	0.82	0.36	1
0.63	0.99	0.17	0.89	0.4	2
0.5	0.99	0.17	0.88	0.38	3
0.63	0.97	0.26	0.94	0.52	4
0.63	0.97	0.24	0.91	0.49	5
0.63	0.99	0.14	0.89	0.33	6
0.38	0.95	0.33	0.84	0.59	7
0.63	0.95	0.31	0.96	0.57	8
0.63	0.99	0.17	0.88	0.39	9
0.63	1	0.09	0.64	0.25	10
0.38	0.99	0.13	0.81	0.31	11



