 0.63  1.00  0.97 56.89  0.25  0.86  0.50  0
 0.75  0.25  0.99 46.53  0.16  0.76  0.38  1
 0.63  0.13  0.97 65.17  0.25  0.83  0.50  2
 0.63  1.00  1.00 45.81  0.10  0.64  0.26  0
 0.75  0.38  0.99 51.32  0.17  0.76  0.39  1
 0.63  0.13  0.97 66.77  0.27  0.85  0.53  2
 0.63  0.13  0.99 55.91  0.16  0.74  0.37  0
 0.75  0.25  1.00 37.10  0.09  0.59  0.24  1
 0.63  0.13  0.97 66.20  0.26  0.84  0.51  2
 0.63  0.13  0.98 62.77  0.18  0.76  0.40  0
 0.63  0.25  0.99 45.48  0.16  0.78  0.38  1
 0.63  1.00  0.96 83.98  0.31  0.89  0.57  2
 0.63  0.13  1.00 44.29  0.09  0.62  0.23  0
 0.50  1.00  0.89  1.00  0.50  0.86  0.70  1
 0.50  0.50  0.71  1.00  1.00  0.80  0.79  2
 0.63  0.13  0.98 59.63  0.22  0.82  0.46  0
 0.63  0.25  0.98 50.15  0.21  0.82  0.46  1
 0.63  0.13  0.99 62.40  0.17  0.77  0.39  2





