 0.63  0.25  0.98 43.61  0.20  0.83  0.43  0
 0.38  0.88  0.99 31.31  0.14  0.91  0.34  1
 0.75  0.25  0.99 35.13  0.17  0.96  0.38  2
 0.63  0.13  0.98 51.88  0.22  0.90  0.46  3
 0.88  0.50  0.99 32.97  0.11  0.61  0.27  0
 0.38  0.88  0.99 30.75  0.12  0.86  0.31  1
 0.75  0.25  0.99 31.77  0.13  0.88  0.31  2
 0.50  1.00  1.00 26.93  0.07  0.64  0.19  3
 0.75  0.25  0.96 42.14  0.28  0.91  0.54  0
 0.38  0.88  0.99 32.58  0.14  0.92  0.34  1
 0.75  0.25  0.99 37.51  0.17  0.93  0.38  2
 0.50  1.00  0.99 38.46  0.15  0.87  0.35  3
 0.75  0.38  0.97 43.23  0.24  0.87  0.49  0
 0.38  0.88  0.99 23.83  0.12  0.94  0.30  1
 0.75  0.25  0.99 26.33  0.14  0.94  0.34  2
 0.50  1.00  0.99 35.07  0.14  0.85  0.35  3
 0.75  0.25  0.98 39.23  0.22  0.92  0.46  0
 0.50  1.00  0.99 31.43  0.15  0.95  0.36  1
 0.75  0.25  0.98 40.18  0.23  0.94  0.47  2
 0.50  1.00  0.99 34.48  0.13  0.82  0.31  3
 1.00  0.50  0.97 43.59  0.27  0.94  0.52  0
 0.38  1.00  0.99 32.04  0.12  0.77  0.30  1
 0.75  0.25  0.99 33.17  0.15  0.84  0.35  2
 0.50  1.00  0.99 36.38  0.11  0.78  0.29  3
