 0.63  0.13  0.99 32.38  0.12  0.83  0.30  0
 1.00  0.75  0.97 62.84  0.26  0.83  0.52  1
 0.63  0.25  0.95 65.70  0.32  0.88  0.58  2
 0.75  0.25  0.94 81.68  0.36  0.90  0.61  3
 0.50  0.88  0.99 30.22  0.11  0.80  0.28  0
 0.13  0.75  0.99 42.19  0.13  0.67  0.33  1
 0.75  0.38  1.00 28.16  0.08  0.60  0.21  2
 0.75  0.25  1.00 34.89  0.10  0.66  0.26  3
 0.50  1.00  0.99 33.17  0.13  0.82  0.32  0
 0.13  0.63  0.99 52.15  0.17  0.73  0.39  1
 0.63  0.25  0.98 51.81  0.20  0.80  0.44  2
 0.75  0.25  0.92 82.40  0.42  0.94  0.65  3
 0.63  0.13  0.99 28.10  0.11  0.82  0.28  0
 1.00  0.50  0.97 57.76  0.24  0.79  0.49  1
 0.88  0.13  0.98 53.67  0.23  0.79  0.47  2
 0.75  0.38  0.96 68.27  0.28  0.89  0.53  3
 0.50  1.00  0.99 37.98  0.14  0.86  0.33  0
 1.00  0.75  0.96 61.90  0.28  0.83  0.54  1
 0.63  0.13  0.97 58.14  0.25  0.88  0.50  2
 0.63  1.00  0.97 60.26  0.25  0.88  0.50  3
 0.63  0.13  0.99 35.77  0.13  0.83  0.32  0
 0.13  0.63  0.97 57.09  0.23  0.78  0.48  1
 0.38  0.75  0.99 46.09  0.12  0.71  0.30  2
 0.75  0.25  0.97 56.21  0.23  0.90  0.48  3
