 0.38  0.88  1.00 32.81  0.06  0.52  0.17  0
 0.38  0.75  1.00 25.36  0.05  0.52  0.14  1
 0.50  0.13  1.00 31.90  0.06  0.52  0.17  2
 0.63  1.00  1.00 31.26  0.07  0.57  0.20  3
 0.38  1.00  1.00 27.86  0.05  0.49  0.14  0
 0.50  1.00  1.00 27.16  0.05  0.49  0.14  1
 0.50  1.00  1.00 30.97  0.06  0.52  0.16  2
 0.75  0.25  0.98 57.00  0.19  0.76  0.41  3
 0.38  0.88  1.00 31.43  0.05  0.48  0.15  0
 0.50  1.00  1.00 28.76  0.05  0.47  0.14  1
 0.50  0.13  1.00 32.58  0.06  0.52  0.17  2
 0.63  1.00  1.00 32.92  0.06  0.52  0.17  3
 0.38  1.00  1.00 30.44  0.06  0.52  0.16  0
 0.50  0.88  1.00 34.17  0.08  0.58  0.22  1
 0.38  1.00  1.00 35.13  0.08  0.60  0.22  2
 0.63  0.13  1.00 31.47  0.10  0.62  0.26  3
 0.38  0.88  1.00 30.05  0.06  0.53  0.17  0
 0.50  1.00  1.00 36.28  0.07  0.57  0.20  1
 0.50  1.00  1.00 32.46  0.07  0.56  0.20  2
 0.75  0.13  0.99 36.90  0.11  0.64  0.28  3
 0.38  0.88  1.00 32.44  0.07  0.53  0.18  0
 0.50  0.25  1.00 29.60  0.05  0.48  0.15  1
 0.50  1.00  0.99 40.81  0.10  0.65  0.27  2
 0.63  0.13  0.99 37.39  0.11  0.65  0.28  3
