 0.50  1.00  0.96 51.07  0.27  0.91  0.53   0
 0.75  0.38  0.91 68.60  0.45  0.92  0.67   1
 0.50  0.88  0.98 42.60  0.21  0.89  0.45   2
 0.88  0.38  0.97 41.34  0.23  0.87  0.48   3
 0.88  0.50  0.97 50.34  0.25  0.86  0.50   4
 0.25  0.75  0.97 49.06  0.27  0.89  0.53   5
 0.50  1.00  0.98 45.17  0.21  0.85  0.45  6
 0.38  0.88  0.99 37.55  0.17  0.84  0.38  7
 0.88  0.50  0.98 42.18  0.20  0.87  0.44  8
 0.63  0.13  0.97 46.14  0.25  0.90  0.51   0
 1.00  0.63  0.98 40.01  0.21  0.83  0.45   1
 0.38  0.88  0.98 50.75  0.21  0.81  0.45   2
 0.88  0.50  0.98 40.13  0.22  0.84  0.46   3
 0.75  0.25  0.99 42.43  0.17  0.74  0.38   4
 1.00  0.63  0.97 47.73  0.27  0.85  0.53   5
 0.50  1.00  1.00 26.89  0.09  0.65  0.24  6
 0.50  1.00  0.99 33.42  0.13  0.81  0.32  7
 0.88  0.50  0.99 37.70  0.16  0.80  0.37  8
 0.63  0.13  0.96 57.11  0.31  0.90  0.57   0
 0.88  0.38  0.95 57.92  0.33  0.84  0.59   1
 0.38  0.63  0.97 54.60  0.25  0.86  0.50   2
 1.00  0.50  0.99 30.71  0.10  0.62  0.27   3
 0.25  0.75  0.96 61.37  0.29  0.86  0.54   4
 1.00  0.63  0.94 56.63  0.35  0.90  0.61   5
 0.50  1.00  0.99 41.29  0.15  0.71  0.35  6
 0.50  1.00  0.98 43.02  0.18  0.86  0.41  7
 1.00  0.38  0.98 47.17  0.22  0.85  0.47  8
 0.75  0.13  0.93 60.61  0.39  0.92  0.64   0
 0.75  0.13  0.80 77.94  0.74  0.95  0.77   1
 0.38  0.88  0.96 56.12  0.29  0.89  0.55   2
 0.88  0.50  0.96 50.19  0.30  0.92  0.56   3
 0.75  0.50  0.96 53.82  0.28  0.87  0.54   4
 0.25  0.75  0.92 61.49  0.42  0.92  0.65   5
 0.50  1.00  0.97 52.82  0.27  0.94  0.53  6
 0.38  0.88  0.98 44.74  0.21  0.88  0.45  7
 1.00  0.38  0.96 54.07  0.28  0.92  0.54  8
 0.63  0.25  0.95 54.66  0.31  0.92  0.57   0
 1.00  0.50  0.91 63.82  0.45  0.93  0.67   1
 0.50  0.88  0.97 54.11  0.27  0.90  0.52   2
 0.88  0.50  0.95 52.05  0.33  0.93  0.58   3
 0.88  0.63  0.95 62.73  0.35  0.90  0.60   4
 0.25  0.75  0.91 66.21  0.46  0.93  0.68   5
 0.50  1.00  0.96 56.49  0.27  0.91  0.53  6
 0.38  1.00  0.97 50.90  0.25  0.90  0.50  7
 1.00  0.50  0.96 57.34  0.29  0.87  0.55  8
 0.63  0.25  0.96 53.03  0.29  0.92  0.55   0
 0.50  1.00  1.00  1.00  0.01  1.00  0.03   1
 0.50  0.75  0.97 52.87  0.26  0.87  0.52   2
 1.00  0.50  0.96 49.63  0.30  0.92  0.56   3
 0.75  0.63  0.96 52.75  0.29  0.89  0.55   4
 0.13  0.63  0.92 61.31  0.43  0.92  0.66   5
 0.50  1.00  0.98 52.90  0.21  0.91  0.45  6
 0.50  1.00  0.97 57.41  0.26  0.91  0.52  7
 0.88  0.50  0.94 56.70  0.36  0.90  0.61  8
