0.50, 0.70
0.75, 0.80
0.50, 0.49
0.75, 0.64
0.50, 0.49
0.13, 0.69
0.62, 0.51
0.38, 0.62
0.87, 0.76
0.62, 0.64
0.50, 0.59
0.50, 0.47
0.13, 0.63
0.62, 0.44
0.38, 0.84
0.62, 0.55
0.62, 0.57
0.75, 0.59
0.50, 0.85
0.38, 0.60
0.38, 0.49
0.75, 0.76
0.87, 0.80
0.50, 0.53
0.62, 0.48
0.75, 0.60
0.62, 0.46
0.62, 0.42
0.62, 0.68
0.62, 0.35
0.50, 0.49
0.62, 0.63
0.62, 0.62
0.38, 0.70
0.75, 0.43
0.62, 0.32
0.50, 0.33
0.50, 0.51
0.62, 0.39
0.62, 0.34
0.50, 0.42
0.62, 0.37
0.62, 0.38
0.62, 0.32
0.50, 0.53
0.62, 0.31
0.38, 0.80
0.62, 0.36
0.38, 0.38
0.62, 0.31
0.62, 0.40
0.25, 0.79
0.62, 0.67
0.75, 0.61
0.62, 0.59
0.75, 0.43
0.75, 0.52
